max_voltage_step,framework_formula,formula_charge,max_delta_volume,average_voltage,capacity_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,id_charge,id_discharge
0,Ag,Ag,2.79838026231775,0.163836073333332,624.785870642994,0,0.75,0.002126714999999,0,mp-124,mp-865875
0,Sb,Sb,1.54951686983509,1.10163087666667,563.913253586274,0,0.75,0.328350750000002,0.0079774975,mp-10630,mp-2074
0,Bi,Bi,0.352405912045682,0.879858011666665,124.126099336906,0,0.5,0.069719637499993,0.003396496666663,mp-567597,mp-22902
0,Ce,Ce,3.04235801783314,-0.444845514999999,499.595768807385,0,0.75,0,0.333634136249999,mp-28,mp-1185231
0,Ca,Ca,1.46531712586952,-0.062228953333333,1320.2483282063,0,0.75,0,0.061178348958333,mp-45,mp-975929
0.210071009999971,C,C,0.052252388200965,0.288597941666671,339.23692548546,0,0.142857142857142,0.0075972375,0.000490129480517,mp-568806,mp-1001581
0,Sn,Li17Sn4,0.009449968929355,-0.84029934666666,26.9360897646143,0.809523809523809,0.814814814814814,0,0.010069883333333,mp-573471,mp-1198729
0,Sn,Sn,1.44310625496143,0.597042978333333,576.239623860246,0,0.75,0.061407004999999,0.009067424444443,mp-623511,mp-1185265
0,Sb,Sb,1.86361354056041,1.09959456666667,563.913253586274,0,0.75,0.290331829999999,0,mp-80,mp-7955
0,Cr,Cr,5.15805213544504,-0.407694173333333,1104.16694845297,0,0.75,0.402526340000001,0.406402214999999,mp-8633,mp-1185185
0,Nb,Nb,2.38149567340585,-0.825405963333333,706.980407666794,0,0.75,0.32016416,0.6990955125,mp-8636,mp-1185184
0,Cd,Cd,2.29455510517661,0.24192897,603.482920546495,0,0.75,0.024284360000002,0.0060066675,mp-1183542,mp-867343
0,C,Li2C,0.051919477964863,0.837677993333335,816.279650035296,0.666666666666666,0.75,0.914417564537036,0.476393675069444,mp-1210743,mp-976060
0,Co,Co,8.08477256466823,-0.881997908448275,628.638546164135,0,0.75,0,0.661498431336206,mp-102,mp-1006112
0,Cs,Cs,0.720482329397913,-0.10685538413793,398.288738719227,0,0.75,0.009248450000001,0.082453650603447,mp-1055940,mp-1185541
0,Ca,Ca,2.51475024418213,0.014938906551724,737.335428345149,0,0.75,0.3996135,0.088699195086206,mp-10683,mp-1186032
0,Cd,Cd,4.30938768063693,0.045777183333334,443.292022125238,0,0.75,0.024284360000002,0,mp-1183542,mp-1186024
0,Sn,NaSn,0.594978470511225,-0.129391280083345,162.73942704381,0.5,0.666666666666666,0,0.115476582361113,mp-11051,mp-1212538
0,C,NaC2,0.379247270287415,3.25076588655172,382.873168513184,0.333333333333333,0.5,1.39237187948276,0.231587437974138,mp-1210106,mp-11180
0,Ag,Ag,5.09858153405555,-0.065909083333334,454.679804178424,0,0.75,0.002126714999999,0.079431958125001,mp-124,mp-1186017
0,Ni,Ni,8.21306740340104,-0.555671876781608,629.819348159705,0,0.75,0,0.416753907586207,mp-23,mp-1186073
0,Ce,Ce,5.03556111394901,-0.619197831781609,384.553291987499,0,0.75,0,0.464398373836207,mp-28,mp-1186065
0,Ca,Ca,2.50371062062406,-0.113746073448275,737.335428345149,0,0.75,0,0.085309555086206,mp-45,mp-977062
0,Fe,Fe,7.196324164616,-2.90321307,644.192519491936,0,0.75,0.76141216,0.700917998965517,mp-568345,mp-1186037
0,Sn,Sn,2.80899161508502,0.261706561666667,428.414002382393,0,0.75,0.061407004999999,0.045904087624998,mp-623511,mp-1186080
0,Sb,Sb,3.2354013082422,0.856180195,421.56312706562,0,0.75,0.290331829999999,0,mp-80,mp-7956
0,Re,Re,5.97468962620663,-1.71288489928161,315.093686074127,0,0.75,0.068419187500005,1.30176847133621,mp-8642,mp-982595
0,C,Na2C,0.225957220482611,-0.436676853448274,330.964170790378,0.666666666666666,0.75,1.27379108313218,1.06451252571121,mp-1210274,mp-977200
0,ScSn,ScSn,0.150262192374178,0.811835809166671,143.587813462583,0,0.333333333333333,1.03679946196429,0.486440504269841,mp-1009747,mp-1100440
0,CrN2,CrN2,0.20960145463955,1.61469427375,260.210400837942,0,0.25,0.349418605,0,mp-1014373,mp-1029407
0,VS2,VS2,0.275256392313946,2.25870805,194.127442729852,0,0.25,0.017861314999999,0,mp-1013526,mp-10224
0,VS2,VS2,0.118400517729981,-0.787843010000001,194.127442729852,0,0.25,0.018088773333333,0.06075763642857,mp-1424931,mp-10225
0,CrO2,CrO2,0.068350413838443,1.6344155725,140.336902247745,0,0.142857142857142,0.175622504999967,0.062053670476188,mp-1041961,mp-1101673
0,Ca2Rh,Ca2Rh,0.210795173154833,-0.170101434281614,130.071905108936,0,0.25,0.062295558333332,0.089247027320402,mp-1063314,mp-1186124
0,NbS2,NbS2,0.192369034858307,2.43264506750001,103.662997302518,0,0.181818181818181,0.017664338333336,0,mp-1072712,mp-1221460
0,CrO3,CrO3,0.068043956765811,1.69770587,217.926446102092,0,0.2,0.40224307075,0.296446778333335,mp-1429856,mp-1076642
0,CoO2,CoO2,0.279327587501295,0.382081827499999,235.26216710874,0,0.25,0.014164345833335,0.11266703500001,mp-1272680,mp-1101661
