compoundID,formula_charge,capacity_grav,LCD,PLD,LCD_along_PLD,max_delta_volume,average_voltage,fracA_charge,fracA_discharge,stability_charge,stability_discharge
mp-124,Ag,624.785870642994,0.66436,0,0.66436,2.79838026231775,0.163836073333332,0,0.75,0.002126714999999,0
mp-10630,Sb,563.913253586274,0.74248,0,0.74248,1.54951686983509,1.10163087666667,0,0.75,0.328350750000002,0.0079774975
mp-567597,Bi,124.126099336906,1.54857,0.52866,1.54857,0.352405912045682,0.879858011666665,0,0.5,0.069719637499993,0.003396496666663
mp-28,Ce,499.595768807385,0.67243,0,0.67243,3.04235801783314,-0.444845514999999,0,0.75,0,0.333634136249999
mp-45,Ca,1320.2483282063,1.57683,0.55346,1.57683,1.46531712586952,-0.062228953333333,0,0.75,0,0.061178348958333
mp-568806,C,339.23692548546,1.22895,0.5246,1.22895,0.052252388200965,0.288597941666671,0,0.142857142857142,0.0075972375,0.000490129480517
mp-573471,Li17Sn4,26.9360897646143,0.99349,0,0.65785,0.009449968929355,-0.84029934666666,0.809523809523809,0.814814814814814,0,0.010069883333333
mp-623511,Sn,576.239623860246,0.35255,0,0.35255,1.44310625496143,0.597042978333333,0,0.75,0.061407004999999,0.009067424444443
mp-80,Sb,563.913253586274,0.74178,0,0.74177,1.86361354056041,1.09959456666667,0,0.75,0.290331829999999,0
mp-8633,Cr,1104.16694845297,0,0,-0.41689,5.15805213544504,-0.407694173333333,0,0.75,0.402526340000001,0.406402214999999
mp-8636,Nb,706.980407666794,0.22334,0,0.22334,2.38149567340585,-0.825405963333333,0,0.75,0.32016416,0.6990955125
mp-1183542,Cd,603.482920546495,1.28856,0.44652,1.28856,2.29455510517661,0.24192897,0,0.75,0.024284360000002,0.0060066675
mp-1210743,Li2C,816.279650035296,0.8369,0,0.83687,0.051919477964863,0.837677993333335,0.666666666666666,0.75,0.914417564537036,0.476393675069444
mp-102,Co,628.638546164135,0,0,-0.48669,8.08477256466823,-0.881997908448275,0,0.75,0,0.661498431336206
mp-1055940,Cs,398.288738719227,3.89667,2.44761,3.89667,0.720482329397913,-0.10685538413793,0,0.75,0.009248450000001,0.082453650603447
mp-10683,Ca,737.335428345149,2.04254,0.93371,2.04254,2.51475024418213,0.014938906551724,0,0.75,0.3996135,0.088699195086206
